species,species_short
acer rubrum,A. rubrum
acer saccharum,A. saccharum
betula alleghaniensis,B. alleghaniensis
betula lenta,B. lenta
betula papyrifera,B. papyrifera
fagus grandifolia,F. grandifolia
fraxinus americana,F. americana
nyssa sylvatica,N. sylvatica
pinus strobus,P. strobus
populus tremuloides,P. tremuloides
prunus serotina,P. serotina
quercus alba,Q. alba
quercus rubra,Q. rubra
quercus velutina,Q. velutina
vaccinium corymbosum,V. corymbosum
acer circinatum,A. circinatum
cornus canadensis,C. canadensis
trillium ovatum,T. ovatum
larrea tridentata,L. tridentata
