"species","obs_type","target_obs_code","Phenophase_ID"
"acer macrophyllum","vegatative","ACMA_03.0",371
"viola sempervirens","vegatative","VISE_06.0",488
"coptis laciniata","vegatative","COLA_04.0",488
"vaccinium parvifolium","vegatative","VAPA_03.0",371
"acer circinatum","vegatative","ACCI_03.0",371
"trillium ovatum","vegatative","TROV_06.0",488
"linnaea borealis","vegatative","LIBO_03.0",371
"rubus ursinus","vegatative","RUUR_03.0",371
"pseudotsuga menziesii","vegatative","PSME_03.0",480
"tsuga heterophylla","vegatative","TSHE_03.0",480
"chimaphila umbellata","vegatative","CHUM_03.0",371
"cornus nuttallii","vegatative","CONU_03.0",371
"rhododendron macrophyllum","vegatative","RHMA_03.0",371
"synthyris reniformis","vegatative","SYRE_04.0",488
"cornus canadensis","vegatative","CHUM_06.0",488
"vaccinium membranaceum","vegatative","VAME_03.0",371
"abies amabilis","vegatative","ABAM_03.0",480
"abies procera","vegatative","ABPR_03.0",480
"acer macrophyllum","reproductive","ACMA_03.0",501
"viola sempervirens","reproductive","VISE_03.0",501
"coptis laciniata","reproductive","COLA_04.0",501
"vaccinium parvifolium","reproductive","VAPA_03.0",501
"acer circinatum","reproductive","ACCI_03.0",501
"trillium ovatum","reproductive","TROV_04.0",501
"linnaea borealis","reproductive","LIBO_03.0",501
"rubus ursinus","reproductive","RUUR_03.0",501
"pseudotsuga menziesii","reproductive",,
"tsuga heterophylla","reproductive",,
"chimaphila umbellata","reproductive","CHUM_03.0",501
"cornus nuttallii","reproductive","CONU_04.0",501
"rhododendron macrophyllum","reproductive","RHMA_04.0",501
"synthyris reniformis","reproductive","SYRE_03.0",501
"cornus canadensis","reproductive","COCA_04.0",501
"vaccinium membranaceum","reproductive","VAME_03.0",501
"abies amabilis","reproductive",,
"abies procera","reproductive",,
