Site_ID,Zone,Site,latitude,longitude
1,C,CALI,32.5120203937,-106.796492499 
2,C,GRAV,32.4901853553,-106.780358689 
3,C,SAND,32.5157359132,-106.790188996 
4,G,BASN,32.5301294354,-106.787592734 
5,G,IBPE,32.5887009791,-106.844433308 
6,G,SUMM,32.5131149345,-106.800724461 
7,M,NORT,32.6190596300,-106.787205907 
8,M,RABB,32.6116973909,-106.796925688 
9,M,WELL,32.6060222210,-106.851360172 
10,P,COLL,32.5314785176,-106.790042563 
11,P,SMAL,32.5397434403,-106.859689736 
12,P,TOBO,32.6677857455,-106.771403261 
13,T,EAST,32.5157240371,-106.741169549 
14,T,TAYL,32.5503248860,-106.711232974 
15,T,WEST,32.5125232630,-106.743806725
